Produit*_(sp.fk_product);Fournisseur*_(sp.fk_soc);Réf._produit_fournisseur_(sp.ref_fourn);Quantité minimum* (sp.quantity);Taux TVA (sp.tva_tx);Prix quantité min. HT* (sp.price);Prix unitaire HT* (sp.unitprice);Remise par défaut quantité min. (sp.remise_percent)
ZCSKM625314_W;ELKOVO;ZCSKM625314_W;1;20;51.28;51.28;0
ZCSKM625314_W+Dim1-10V;ELKOVO;ZCSKM625314_W+Dim1-10V;1;20;76.28;76.28;0
ZCSKM625314_W+DimDALI;ELKOVO;ZCSKM625314_W+DimDALI;1;20;82.8;82.8;0
ZCSKM625314_W+DimDSI;ELKOVO;ZCSKM625314_W+DimDSI;1;20;92.4;92.4;0
ZCSKM625314_W+NZ;ELKOVO;ZCSKM625314_W+NZ;1;20;89.28;89.28;0
ZCSKM625324_W;ELKOVO;ZCSKM625324_W;1;20;54.16;54.16;0
ZCSKM625324_W+Dim1-10V;ELKOVO;ZCSKM625324_W+Dim1-10V;1;20;86.88;86.88;0
ZCSKM625324_W+DimDALI;ELKOVO;ZCSKM625324_W+DimDALI;1;20;83.96;83.96;0
ZCSKM625324_W+DimDSI;ELKOVO;ZCSKM625324_W+DimDSI;1;20;94.56;94.56;0
ZCSKM625324_W+NZ;ELKOVO;ZCSKM625324_W+NZ;1;20;92.16;92.16;0
ZCSKM625414_W;ELKOVO;ZCSKM625414_W;1;20;51.28;51.28;0
ZCSKM625414_W+Dim1-10V;ELKOVO;ZCSKM625414_W+Dim1-10V;1;20;76.28;76.28;0
ZCSKM625414_W+DimDALI;ELKOVO;ZCSKM625414_W+DimDALI;1;20;75.6;75.6;0
ZCSKM625414_W+DimDSI;ELKOVO;ZCSKM625414_W+DimDSI;1;20;92.4;92.4;0
ZCSKM625414_W+NZ;ELKOVO;ZCSKM625414_W+NZ;1;20;89.28;89.28;0
ZCSKM625424_W;ELKOVO;ZCSKM625424_W;1;20;54.16;54.16;0
ZCSKM625424_W+Dim1-10V;ELKOVO;ZCSKM625424_W+Dim1-10V;1;20;82.12;82.12;0
ZCSKM625424_W+DimDALI;ELKOVO;ZCSKM625424_W+DimDALI;1;20;83.96;83.96;0
ZCSKM625424_W+DimDSI;ELKOVO;ZCSKM625424_W+DimDSI;1;20;94.56;94.56;0
ZCSKM625424_W+NZ;ELKOVO;ZCSKM625424_W+NZ;1;20;92.16;92.16;0
ZCSKM625314_LV;ELKOVO;ZCSKM625314_LV;1;20;52.12;52.12;0
ZCSKM625314_LV+Dim1-10V;ELKOVO;ZCSKM625314_LV+Dim1-10V;1;20;77.16;77.16;0
ZCSKM625314_LV+DimDALI;ELKOVO;ZCSKM625314_LV+DimDALI;1;20;83.68;83.68;0
ZCSKM625314_LV+DimDSI;ELKOVO;ZCSKM625314_LV+DimDSI;1;20;93.28;93.28;0
ZCSKM625314_LV+NZ;ELKOVO;ZCSKM625314_LV+NZ;1;20;90.12;90.12;0
ZCSKM625324_LV;ELKOVO;ZCSKM625324_LV;1;20;55;55;0
ZCSKM625324_LV+Dim1-10V;ELKOVO;ZCSKM625324_LV+Dim1-10V;1;20;87.76;87.76;0
ZCSKM625324_LV+DimDALI;ELKOVO;ZCSKM625324_LV+DimDALI;1;20;84.8;84.8;0
ZCSKM625324_LV+DimDSI;ELKOVO;ZCSKM625324_LV+DimDSI;1;20;95.44;95.44;0
ZCSKM625324_LV+NZ;ELKOVO;ZCSKM625324_LV+NZ;1;20;93;93;0
ZCSKM625414_LV;ELKOVO;ZCSKM625414_LV;1;20;52.12;52.12;0
ZCSKM625414_LV+Dim1-10V;ELKOVO;ZCSKM625414_LV+Dim1-10V;1;20;77.16;77.16;0
ZCSKM625414_LV+DimDALI;ELKOVO;ZCSKM625414_LV+DimDALI;1;20;76.48;76.48;0
ZCSKM625414_LV+DimDSI;ELKOVO;ZCSKM625414_LV+DimDSI;1;20;93.28;93.28;0
ZCSKM625414_LV+NZ;ELKOVO;ZCSKM625414_LV+NZ;1;20;90.12;90.12;0
ZCSKM625424_LV;ELKOVO;ZCSKM625424_LV;1;20;55;55;0
ZCSKM625424_LV+Dim1-10V;ELKOVO;ZCSKM625424_LV+Dim1-10V;1;20;83;83;0
ZCSKM625424_LV+DimDALI;ELKOVO;ZCSKM625424_LV+DimDALI;1;20;84.8;84.8;0
ZCSKM625424_LV+DimDSI;ELKOVO;ZCSKM625424_LV+DimDSI;1;20;95.44;95.44;0
ZCSKM625424_LV+NZ;ELKOVO;ZCSKM625424_LV+NZ;1;20;93;93;0
ZCSKM625314_LOS;ELKOVO;ZCSKM625314_LOS;1;20;57.6;57.6;0
ZCSKM625314_LOS+Dim1-10V;ELKOVO;ZCSKM625314_LOS+Dim1-10V;1;20;82.64;82.64;0
ZCSKM625314_LOS+DimDALI;ELKOVO;ZCSKM625314_LOS+DimDALI;1;20;89.16;89.16;0
ZCSKM625314_LOS+DimDSI;ELKOVO;ZCSKM625314_LOS+DimDSI;1;20;98.76;98.76;0
ZCSKM625314_LOS+NZ;ELKOVO;ZCSKM625314_LOS+NZ;1;20;95.6;95.6;0
ZCSKM625324_LOS;ELKOVO;ZCSKM625324_LOS;1;20;60.48;60.48;0
ZCSKM625324_LOS+Dim1-10V;ELKOVO;ZCSKM625324_LOS+Dim1-10V;1;20;93.2;93.2;0
ZCSKM625324_LOS+DimDALI;ELKOVO;ZCSKM625324_LOS+DimDALI;1;20;90.28;90.28;0
ZCSKM625324_LOS+DimDSI;ELKOVO;ZCSKM625324_LOS+DimDSI;1;20;100.88;100.88;0
ZCSKM625324_LOS+NZ;ELKOVO;ZCSKM625324_LOS+NZ;1;20;98.48;98.48;0
ZCSKM625414_LOS;ELKOVO;ZCSKM625414_LOS;1;20;57.6;57.6;0
ZCSKM625414_LOS+Dim1-10V;ELKOVO;ZCSKM625414_LOS+Dim1-10V;1;20;82.64;82.64;0
ZCSKM625414_LOS+DimDALI;ELKOVO;ZCSKM625414_LOS+DimDALI;1;20;81.96;81.96;0
ZCSKM625414_LOS+DimDSI;ELKOVO;ZCSKM625414_LOS+DimDSI;1;20;98.76;98.76;0
ZCSKM625414_LOS+NZ;ELKOVO;ZCSKM625414_LOS+NZ;1;20;95.6;95.6;0
ZCSKM625424_LOS;ELKOVO;ZCSKM625424_LOS;1;20;60.48;60.48;0
ZCSKM625424_LOS+Dim1-10V;ELKOVO;ZCSKM625424_LOS+Dim1-10V;1;20;88.48;88.48;0
ZCSKM625424_LOS+DimDALI;ELKOVO;ZCSKM625424_LOS+DimDALI;1;20;90.28;90.28;0
ZCSKM625424_LOS+DimDSI;ELKOVO;ZCSKM625424_LOS+DimDSI;1;20;100.88;100.88;0
ZCSKM625424_LOS+NZ;ELKOVO;ZCSKM625424_LOS+NZ;1;20;98.48;98.48;0
ZCSKM625314_MIKRO;ELKOVO;ZCSKM625314_MIKRO;1;20;87.76;87.76;0
ZCSKM625314_MIKRO+Dim1-10V;ELKOVO;ZCSKM625314_MIKRO+Dim1-10V;1;20;112.76;112.76;0
ZCSKM625314_MIKRO+DimDALI;ELKOVO;ZCSKM625314_MIKRO+DimDALI;1;20;119.28;119.28;0
ZCSKM625314_MIKRO+DimDSI;ELKOVO;ZCSKM625314_MIKRO+DimDSI;1;20;128.88;128.88;0
ZCSKM625314_MIKRO+NZ;ELKOVO;ZCSKM625314_MIKRO+NZ;1;20;125.76;125.76;0
ZCSKM625324_MIKRO;ELKOVO;ZCSKM625324_MIKRO;1;20;90.64;90.64;0
ZCSKM625324_MIKRO+Dim1-10V;ELKOVO;ZCSKM625324_MIKRO+Dim1-10V;1;20;123.36;123.36;0
ZCSKM625324_MIKRO+DimDALI;ELKOVO;ZCSKM625324_MIKRO+DimDALI;1;20;120.44;120.44;0
ZCSKM625324_MIKRO+DimDSI;ELKOVO;ZCSKM625324_MIKRO+DimDSI;1;20;131.04;131.04;0
ZCSKM625324_MIKRO+NZ;ELKOVO;ZCSKM625324_MIKRO+NZ;1;20;128.64;128.64;0
ZCSKM625414_MIKRO;ELKOVO;ZCSKM625414_MIKRO;1;20;87.76;87.76;0
ZCSKM625414_MIKRO+Dim1-10V;ELKOVO;ZCSKM625414_MIKRO+Dim1-10V;1;20;112.76;112.76;0
ZCSKM625414_MIKRO+DimDALI;ELKOVO;ZCSKM625414_MIKRO+DimDALI;1;20;112.08;112.08;0
ZCSKM625414_MIKRO+DimDSI;ELKOVO;ZCSKM625414_MIKRO+DimDSI;1;20;128.88;128.88;0
ZCSKM625414_MIKRO+NZ;ELKOVO;ZCSKM625414_MIKRO+NZ;1;20;125.76;125.76;0
ZCSKM625424_MIKRO;ELKOVO;ZCSKM625424_MIKRO;1;20;90.64;90.64;0
ZCSKM625424_MIKRO+Dim1-10V;ELKOVO;ZCSKM625424_MIKRO+Dim1-10V;1;20;118.6;118.6;0
ZCSKM625424_MIKRO+DimDALI;ELKOVO;ZCSKM625424_MIKRO+DimDALI;1;20;120.44;120.44;0
ZCSKM625424_MIKRO+DimDSI;ELKOVO;ZCSKM625424_MIKRO+DimDSI;1;20;131.04;131.04;0
ZCSKM625424_MIKRO+NZ;ELKOVO;ZCSKM625424_MIKRO+NZ;1;20;128.64;128.64;0
ZCSKM625314_PLEXI;ELKOVO;ZCSKM625314_PLEXI;1;20;58.96;58.96;0
ZCSKM625314_PLEXI+Dim1-10V;ELKOVO;ZCSKM625314_PLEXI+Dim1-10V;1;20;83.96;83.96;0
ZCSKM625314_PLEXI+DimDALI;ELKOVO;ZCSKM625314_PLEXI+DimDALI;1;20;90.48;90.48;0
ZCSKM625314_PLEXI+DimDSI;ELKOVO;ZCSKM625314_PLEXI+DimDSI;1;20;100.08;100.08;0
ZCSKM625314_PLEXI+NZ;ELKOVO;ZCSKM625314_PLEXI+NZ;1;20;96.96;96.96;0
ZCSKM625324_PLEXI;ELKOVO;ZCSKM625324_PLEXI;1;20;61.84;61.84;0
ZCSKM625324_PLEXI+Dim1-10V;ELKOVO;ZCSKM625324_PLEXI+Dim1-10V;1;20;94.56;94.56;0
ZCSKM625324_PLEXI+DimDALI;ELKOVO;ZCSKM625324_PLEXI+DimDALI;1;20;91.64;91.64;0
ZCSKM625324_PLEXI+DimDSI;ELKOVO;ZCSKM625324_PLEXI+DimDSI;1;20;102.24;102.24;0
ZCSKM625324_PLEXI+NZ;ELKOVO;ZCSKM625324_PLEXI+NZ;1;20;99.84;99.84;0
ZCSKM625414_PLEXI;ELKOVO;ZCSKM625414_PLEXI;1;20;58.96;58.96;0
ZCSKM625414_PLEXI+Dim1-10V;ELKOVO;ZCSKM625414_PLEXI+Dim1-10V;1;20;83.96;83.96;0
ZCSKM625414_PLEXI+DimDALI;ELKOVO;ZCSKM625414_PLEXI+DimDALI;1;20;83.28;83.28;0
ZCSKM625414_PLEXI+DimDSI;ELKOVO;ZCSKM625414_PLEXI+DimDSI;1;20;100.08;100.08;0
ZCSKM625414_PLEXI+NZ;ELKOVO;ZCSKM625414_PLEXI+NZ;1;20;96.96;96.96;0
ZCSKM625424_PLEXI;ELKOVO;ZCSKM625424_PLEXI;1;20;61.84;61.84;0
ZCSKM625424_PLEXI+Dim1-10V;ELKOVO;ZCSKM625424_PLEXI+Dim1-10V;1;20;89.8;89.8;0
ZCSKM625424_PLEXI+DimDALI;ELKOVO;ZCSKM625424_PLEXI+DimDALI;1;20;91.64;91.64;0
ZCSKM625424_PLEXI+DimDSI;ELKOVO;ZCSKM625424_PLEXI+DimDSI;1;20;102.24;102.24;0
ZCSKM625424_PLEXI+NZ;ELKOVO;ZCSKM625424_PLEXI+NZ;1;20;99.84;99.84;0
ZCSKM625314_OPAL;ELKOVO;ZCSKM625314_OPAL;1;20;58.96;58.96;0
ZCSKM625314_OPAL+Dim1-10V;ELKOVO;ZCSKM625314_OPAL+Dim1-10V;1;20;83.96;83.96;0
ZCSKM625314_OPAL+DimDALI;ELKOVO;ZCSKM625314_OPAL+DimDALI;1;20;90.48;90.48;0
ZCSKM625314_OPAL+DimDSI;ELKOVO;ZCSKM625314_OPAL+DimDSI;1;20;100.08;100.08;0
ZCSKM625314_OPAL+NZ;ELKOVO;ZCSKM625314_OPAL+NZ;1;20;96.96;96.96;0
ZCSKM625324_OPAL;ELKOVO;ZCSKM625324_OPAL;1;20;61.84;61.84;0
ZCSKM625324_OPAL+Dim1-10V;ELKOVO;ZCSKM625324_OPAL+Dim1-10V;1;20;94.56;94.56;0
ZCSKM625324_OPAL+DimDALI;ELKOVO;ZCSKM625324_OPAL+DimDALI;1;20;91.64;91.64;0
ZCSKM625324_OPAL+DimDSI;ELKOVO;ZCSKM625324_OPAL+DimDSI;1;20;102.24;102.24;0
ZCSKM625324_OPAL+NZ;ELKOVO;ZCSKM625324_OPAL+NZ;1;20;99.84;99.84;0
ZCSKM625414_OPAL;ELKOVO;ZCSKM625414_OPAL;1;20;58.96;58.96;0
ZCSKM625414_OPAL+Dim1-10V;ELKOVO;ZCSKM625414_OPAL+Dim1-10V;1;20;83.96;83.96;0
ZCSKM625414_OPAL+DimDALI;ELKOVO;ZCSKM625414_OPAL+DimDALI;1;20;83.28;83.28;0
ZCSKM625414_OPAL+DimDSI;ELKOVO;ZCSKM625414_OPAL+DimDSI;1;20;100.08;100.08;0
ZCSKM625414_OPAL+NZ;ELKOVO;ZCSKM625414_OPAL+NZ;1;20;96.96;96.96;0
ZCSKM625424_OPAL;ELKOVO;ZCSKM625424_OPAL;1;20;61.84;61.84;0
ZCSKM625424_OPAL+Dim1-10V;ELKOVO;ZCSKM625424_OPAL+Dim1-10V;1;20;89.8;89.8;0
ZCSKM625424_OPAL+DimDALI;ELKOVO;ZCSKM625424_OPAL+DimDALI;1;20;91.64;91.64;0
ZCSKM625424_OPAL+DimDSI;ELKOVO;ZCSKM625424_OPAL+DimDSI;1;20;102.24;102.24;0
ZCSKM625424_OPAL+NZ;ELKOVO;ZCSKM625424_OPAL+NZ;1;20;99.84;99.84;0
ZCM100136_W;ELKOVO;ZCM100136_W;1;20;39.84;39.84;0
ZCM100136_W+Dim1-10V;ELKOVO;ZCM100136_W+Dim1-10V;1;20;55.28;55.28;0
ZCM100136_W+DimDALI;ELKOVO;ZCM100136_W+DimDALI;1;20;60.76;60.76;0
ZCM100136_W+DimDSI;ELKOVO;ZCM100136_W+DimDSI;1;20;65.2;65.2;0
ZCM100136_W+NZ;ELKOVO;ZCM100136_W+NZ;1;20;77.84;77.84;0
ZCM100236_W;ELKOVO;ZCM100236_W;1;20;42.32;42.32;0
ZCM100236_W+Dim1-10V;ELKOVO;ZCM100236_W+Dim1-10V;1;20;61.2;61.2;0
ZCM100236_W+DimDALI;ELKOVO;ZCM100236_W+DimDALI;1;20;65.96;65.96;0
ZCM100236_W+DimDSI;ELKOVO;ZCM100236_W+DimDSI;1;20;71.52;71.52;0
ZCM100236_W+NZ;ELKOVO;ZCM100236_W+NZ;1;20;80.32;80.32;0
ZCM100158_W;ELKOVO;ZCM100158_W;1;20;44.24;44.24;0
ZCM100158_W+Dim1-10V;ELKOVO;ZCM100158_W+Dim1-10V;1;20;59.68;59.68;0
ZCM100158_W+DimDALI;ELKOVO;ZCM100158_W+DimDALI;1;20;65.2;65.2;0
ZCM100158_W+DimDSI;ELKOVO;ZCM100158_W+DimDSI;1;20;69.6;69.6;0
ZCM100158_W+NZ;ELKOVO;ZCM100158_W+NZ;1;20;82.24;82.24;0
ZCM100258_W;ELKOVO;ZCM100258_W;1;20;48.56;48.56;0
ZCM100258_W+Dim1-10V;ELKOVO;ZCM100258_W+Dim1-10V;1;20;67.44;67.44;0
ZCM100258_W+DimDALI;ELKOVO;ZCM100258_W+DimDALI;1;20;72.2;72.2;0
ZCM100258_W+DimDSI;ELKOVO;ZCM100258_W+DimDSI;1;20;77.76;77.76;0
ZCM100258_W+NZ;ELKOVO;ZCM100258_W+NZ;1;20;86.56;86.56;0
ZCM100136_LV;ELKOVO;ZCM100136_LV;1;20;41.2;41.2;0
ZCM100136_LV+Dim1-10V;ELKOVO;ZCM100136_LV+Dim1-10V;1;20;56.6;56.6;0
ZCM100136_LV+DimDALI;ELKOVO;ZCM100136_LV+DimDALI;1;20;62.12;62.12;0
ZCM100136_LV+DimDSI;ELKOVO;ZCM100136_LV+DimDSI;1;20;66.52;66.52;0
ZCM100136_LV+NZ;ELKOVO;ZCM100136_LV+NZ;1;20;79.2;79.2;0
ZCM100236_LV;ELKOVO;ZCM100236_LV;1;20;42.8;42.8;0
ZCM100236_LV+Dim1-10V;ELKOVO;ZCM100236_LV+Dim1-10V;1;20;61.68;61.68;0
ZCM100236_LV+DimDALI;ELKOVO;ZCM100236_LV+DimDALI;1;20;66.44;66.44;0
ZCM100236_LV+DimDSI;ELKOVO;ZCM100236_LV+DimDSI;1;20;72;72;0
ZCM100236_LV+NZ;ELKOVO;ZCM100236_LV+NZ;1;20;80.8;80.8;0
ZCM100158_LV;ELKOVO;ZCM100158_LV;1;20;46.96;46.96;0
ZCM100158_LV+Dim1-10V;ELKOVO;ZCM100158_LV+Dim1-10V;1;20;62.36;62.36;0
ZCM100158_LV+DimDALI;ELKOVO;ZCM100158_LV+DimDALI;1;20;67.88;67.88;0
ZCM100158_LV+DimDSI;ELKOVO;ZCM100158_LV+DimDSI;1;20;72.28;72.28;0
ZCM100158_LV+NZ;ELKOVO;ZCM100158_LV+NZ;1;20;84.96;84.96;0
ZCM100258_LV;ELKOVO;ZCM100258_LV;1;20;48.88;48.88;0
ZCM100258_LV+Dim1-10V;ELKOVO;ZCM100258_LV+Dim1-10V;1;20;67.72;67.72;0
ZCM100258_LV+DimDALI;ELKOVO;ZCM100258_LV+DimDALI;1;20;72.48;72.48;0
ZCM100258_LV+DimDSI;ELKOVO;ZCM100258_LV+DimDSI;1;20;78.04;78.04;0
ZCM100258_LV+NZ;ELKOVO;ZCM100258_LV+NZ;1;20;86.88;86.88;0
ZCM100136_LOS;ELKOVO;ZCM100136_LOS;1;20;44.72;44.72;0
ZCM100136_LOS+Dim1-10V;ELKOVO;ZCM100136_LOS+Dim1-10V;1;20;60.16;60.16;0
ZCM100136_LOS+DimDALI;ELKOVO;ZCM100136_LOS+DimDALI;1;20;65.68;65.68;0
ZCM100136_LOS+DimDSI;ELKOVO;ZCM100136_LOS+DimDSI;1;20;70.08;70.08;0
ZCM100136_LOS+NZ;ELKOVO;ZCM100136_LOS+NZ;1;20;82.72;82.72;0
ZCM100236_LOS;ELKOVO;ZCM100236_LOS;1;20;47.8;47.8;0
ZCM100236_LOS+Dim1-10V;ELKOVO;ZCM100236_LOS+Dim1-10V;1;20;66.68;66.68;0
ZCM100236_LOS+DimDALI;ELKOVO;ZCM100236_LOS+DimDALI;1;20;71.44;71.44;0
ZCM100236_LOS+DimDSI;ELKOVO;ZCM100236_LOS+DimDSI;1;20;77;77;0
ZCM100236_LOS+NZ;ELKOVO;ZCM100236_LOS+NZ;1;20;85.8;85.8;0
ZCM100158_LOS;ELKOVO;ZCM100158_LOS;1;20;50.8;50.8;0
ZCM100158_LOS+Dim1-10V;ELKOVO;ZCM100158_LOS+Dim1-10V;1;20;66.2;66.2;0
ZCM100158_LOS+DimDALI;ELKOVO;ZCM100158_LOS+DimDALI;1;20;71.72;71.72;0
ZCM100158_LOS+DimDSI;ELKOVO;ZCM100158_LOS+DimDSI;1;20;76.12;76.12;0
ZCM100158_LOS+NZ;ELKOVO;ZCM100158_LOS+NZ;1;20;88.8;88.8;0
ZCM100258_LOS;ELKOVO;ZCM100258_LOS;1;20;53.84;53.84;0
ZCM100258_LOS+Dim1-10V;ELKOVO;ZCM100258_LOS+Dim1-10V;1;20;72.72;72.72;0
ZCM100258_LOS+DimDALI;ELKOVO;ZCM100258_LOS+DimDALI;1;20;77.48;77.48;0
ZCM100258_LOS+DimDSI;ELKOVO;ZCM100258_LOS+DimDSI;1;20;83.04;83.04;0
ZCM100258_LOS+NZ;ELKOVO;ZCM100258_LOS+NZ;1;20;91.84;91.84;0
ZCM100136_MIKRO;ELKOVO;ZCM100136_MIKRO;1;20;65.68;65.68;0
ZCM100136_MIKRO+Dim1-10V;ELKOVO;ZCM100136_MIKRO+Dim1-10V;1;20;81.08;81.08;0
ZCM100136_MIKRO+DimDALI;ELKOVO;ZCM100136_MIKRO+DimDALI;1;20;86.6;86.6;0
ZCM100136_MIKRO+DimDSI;ELKOVO;ZCM100136_MIKRO+DimDSI;1;20;91;91;0
ZCM100136_MIKRO+NZ;ELKOVO;ZCM100136_MIKRO+NZ;1;20;103.68;103.68;0
ZCM100236_MIKRO;ELKOVO;ZCM100236_MIKRO;1;20;78.52;78.52;0
ZCM100236_MIKRO+Dim1-10V;ELKOVO;ZCM100236_MIKRO+Dim1-10V;1;20;97.4;97.4;0
ZCM100236_MIKRO+DimDALI;ELKOVO;ZCM100236_MIKRO+DimDALI;1;20;102.16;102.16;0
ZCM100236_MIKRO+DimDSI;ELKOVO;ZCM100236_MIKRO+DimDSI;1;20;107.72;107.72;0
ZCM100236_MIKRO+NZ;ELKOVO;ZCM100236_MIKRO+NZ;1;20;116.52;116.52;0
ZCM100158_MIKRO;ELKOVO;ZCM100158_MIKRO;1;20;74.8;74.8;0
ZCM100158_MIKRO+Dim1-10V;ELKOVO;ZCM100158_MIKRO+Dim1-10V;1;20;90.2;90.2;0
ZCM100158_MIKRO+DimDALI;ELKOVO;ZCM100158_MIKRO+DimDALI;1;20;95.72;95.72;0
ZCM100158_MIKRO+DimDSI;ELKOVO;ZCM100158_MIKRO+DimDSI;1;20;100.12;100.12;0
ZCM100158_MIKRO+NZ;ELKOVO;ZCM100158_MIKRO+NZ;1;20;112.8;112.8;0
ZCM100258_MIKRO;ELKOVO;ZCM100258_MIKRO;1;20;99.28;99.28;0
ZCM100258_MIKRO+Dim1-10V;ELKOVO;ZCM100258_MIKRO+Dim1-10V;1;20;118.12;118.12;0
ZCM100258_MIKRO+DimDALI;ELKOVO;ZCM100258_MIKRO+DimDALI;1;20;122.88;122.88;0
ZCM100258_MIKRO+DimDSI;ELKOVO;ZCM100258_MIKRO+DimDSI;1;20;128.44;128.44;0
ZCM100258_MIKRO+NZ;ELKOVO;ZCM100258_MIKRO+NZ;1;20;137.28;137.28;0
ZCM100136_PLEXI;ELKOVO;ZCM100136_PLEXI;1;20;46.48;46.48;0
ZCM100136_PLEXI+Dim1-10V;ELKOVO;ZCM100136_PLEXI+Dim1-10V;1;20;61.88;61.88;0
ZCM100136_PLEXI+DimDALI;ELKOVO;ZCM100136_PLEXI+DimDALI;1;20;67.4;67.4;0
ZCM100136_PLEXI+DimDSI;ELKOVO;ZCM100136_PLEXI+DimDSI;1;20;71.8;71.8;0
ZCM100136_PLEXI+NZ;ELKOVO;ZCM100136_PLEXI+NZ;1;20;84.48;84.48;0
ZCM100236_PLEXI;ELKOVO;ZCM100236_PLEXI;1;20;49.72;49.72;0
ZCM100236_PLEXI+Dim1-10V;ELKOVO;ZCM100236_PLEXI+Dim1-10V;1;20;68.6;68.6;0
ZCM100236_PLEXI+DimDALI;ELKOVO;ZCM100236_PLEXI+DimDALI;1;20;73.36;73.36;0
ZCM100236_PLEXI+DimDSI;ELKOVO;ZCM100236_PLEXI+DimDSI;1;20;78.92;78.92;0
ZCM100236_PLEXI+NZ;ELKOVO;ZCM100236_PLEXI+NZ;1;20;87.72;87.72;0
ZCM100158_PLEXI;ELKOVO;ZCM100158_PLEXI;1;20;52.72;52.72;0
ZCM100158_PLEXI+Dim1-10V;ELKOVO;ZCM100158_PLEXI+Dim1-10V;1;20;68.12;68.12;0
ZCM100158_PLEXI+DimDALI;ELKOVO;ZCM100158_PLEXI+DimDALI;1;20;73.64;73.64;0
ZCM100158_PLEXI+DimDSI;ELKOVO;ZCM100158_PLEXI+DimDSI;1;20;78.04;78.04;0
ZCM100158_PLEXI+NZ;ELKOVO;ZCM100158_PLEXI+NZ;1;20;90.72;90.72;0
ZCM100258_PLEXI;ELKOVO;ZCM100258_PLEXI;1;20;56.08;56.08;0
ZCM100258_PLEXI+Dim1-10V;ELKOVO;ZCM100258_PLEXI+Dim1-10V;1;20;74.92;74.92;0
ZCM100258_PLEXI+DimDALI;ELKOVO;ZCM100258_PLEXI+DimDALI;1;20;79.68;79.68;0
ZCM100258_PLEXI+DimDSI;ELKOVO;ZCM100258_PLEXI+DimDSI;1;20;85.24;85.24;0
ZCM100258_PLEXI+NZ;ELKOVO;ZCM100258_PLEXI+NZ;1;20;94.08;94.08;0
ZCM100136_OPAL;ELKOVO;ZCM100136_OPAL;1;20;46.48;46.48;0
ZCM100136_OPAL+Dim1-10V;ELKOVO;ZCM100136_OPAL+Dim1-10V;1;20;61.88;61.88;0
ZCM100136_OPAL+DimDALI;ELKOVO;ZCM100136_OPAL+DimDALI;1;20;67.4;67.4;0
ZCM100136_OPAL+DimDSI;ELKOVO;ZCM100136_OPAL+DimDSI;1;20;71.8;71.8;0
ZCM100136_OPAL+NZ;ELKOVO;ZCM100136_OPAL+NZ;1;20;84.48;84.48;0
ZCM100236_OPAL;ELKOVO;ZCM100236_OPAL;1;20;49.72;49.72;0
ZCM100236_OPAL+Dim1-10V;ELKOVO;ZCM100236_OPAL+Dim1-10V;1;20;68.6;68.6;0
ZCM100236_OPAL+DimDALI;ELKOVO;ZCM100236_OPAL+DimDALI;1;20;73.36;73.36;0
ZCM100236_OPAL+DimDSI;ELKOVO;ZCM100236_OPAL+DimDSI;1;20;78.92;78.92;0
ZCM100236_OPAL+NZ;ELKOVO;ZCM100236_OPAL+NZ;1;20;87.72;87.72;0
ZCM100158_OPAL;ELKOVO;ZCM100158_OPAL;1;20;52.72;52.72;0
ZCM100158_OPAL+Dim1-10V;ELKOVO;ZCM100158_OPAL+Dim1-10V;1;20;68.12;68.12;0
ZCM100158_OPAL+DimDALI;ELKOVO;ZCM100158_OPAL+DimDALI;1;20;73.64;73.64;0
ZCM100158_OPAL+DimDSI;ELKOVO;ZCM100158_OPAL+DimDSI;1;20;78.04;78.04;0
ZCM100158_OPAL+NZ;ELKOVO;ZCM100158_OPAL+NZ;1;20;90.72;90.72;0
ZCM100258_OPAL;ELKOVO;ZCM100258_OPAL;1;20;56.08;56.08;0
ZCM100258_OPAL+Dim1-10V;ELKOVO;ZCM100258_OPAL+Dim1-10V;1;20;74.92;74.92;0
ZCM100258_OPAL+DimDALI;ELKOVO;ZCM100258_OPAL+DimDALI;1;20;79.68;79.68;0
ZCM100258_OPAL+DimDSI;ELKOVO;ZCM100258_OPAL+DimDSI;1;20;85.24;85.24;0
ZCM100258_OPAL+NZ;ELKOVO;ZCM100258_OPAL+NZ;1;20;94.08;94.08;0
ZCM100128_W;ELKOVO;ZCM100128_W;1;20;43.96;43.96;0
ZCM100128_W+Dim1-10V;ELKOVO;ZCM100128_W+Dim1-10V;1;20;61.12;61.12;0
ZCM100128_W+DimDALI;ELKOVO;ZCM100128_W+DimDALI;1;20;65.24;65.24;0
ZCM100128_W+DimDSI;ELKOVO;ZCM100128_W+DimDSI;1;20;69.68;69.68;0
ZCM100128_W+NZ;ELKOVO;ZCM100128_W+NZ;1;20;81.96;81.96;0
ZCM100154_W;ELKOVO;ZCM100154_W;1;20;43.96;43.96;0
ZCM100154_W+Dim1-10V;ELKOVO;ZCM100154_W+Dim1-10V;1;20;61.12;61.12;0
ZCM100154_W+DimDALI;ELKOVO;ZCM100154_W+DimDALI;1;20;65.24;65.24;0
ZCM100154_W+DimDSI;ELKOVO;ZCM100154_W+DimDSI;1;20;69.68;69.68;0
ZCM100154_W+NZ;ELKOVO;ZCM100154_W+NZ;1;20;81.96;81.96;0
ZCM100228_W;ELKOVO;ZCM100228_W;1;20;46.48;46.48;0
ZCM100228_W+Dim1-10V;ELKOVO;ZCM100228_W+Dim1-10V;1;20;65.32;65.32;0
