Product_prix ID* (pr.fk_product),Base de prix (multi-prix) (pr.price_base_type),PriceLevel (pr.price_level),Prix unitaire HT (multi-prix) (pr.price),Prix unitaire TTC (multi-prix) (pr.price_ttc),Prix minimum unitaire HT (multi-prix) (pr.price_min),Prix minimum unitaire TTC (multi-prix) (pr.price_min_ttc),Taux TVA (multi-prix) (pr.tva_tx),Date création* (pr.date_price)
109,HT,1,70,83.72,28,33.488,19.6,2013-12-06
110,HT,1,70,83.72,28,33.488,19.6,2013-12-06
111,HT,1,76,90.896,30.4,36.3584,19.6,2013-12-06
112,HT,1,76,90.896,30.4,36.3584,19.6,2013-12-06
113,HT,1,90,107.64,36,43.056,19.6,2013-12-06
114,HT,1,90,107.64,36,43.056,19.6,2013-12-06
115,HT,1,114,136.344,45.6,54.5376,19.6,2013-12-06
116,HT,1,101,120.796,40.4,48.3184,19.6,2013-12-06
117,HT,1,101,120.796,40.4,48.3184,19.6,2013-12-06
118,HT,1,85.5,102.258,34.2,40.9032,19.6,2013-12-06
119,HT,1,85.5,102.258,34.2,40.9032,19.6,2013-12-06
120,HT,1,43,51.428,17.2,20.5712,19.6,2013-12-06
121,HT,1,43,51.428,17.2,20.5712,19.6,2013-12-06
122,HT,1,91,108.836,36.4,43.5344,19.6,2013-12-06
123,HT,1,91,108.836,36.4,43.5344,19.6,2013-12-06
124,HT,1,148,177.008,59.2,70.8032,19.6,2013-12-06
125,HT,1,148,177.008,59.2,70.8032,19.6,2013-12-06
126,HT,1,244,291.824,97.6,116.7296,19.6,2013-12-06
127,HT,1,244,291.824,97.6,116.7296,19.6,2013-12-06
128,HT,1,507,606.372,202.8,242.5488,19.6,2013-12-06
129,HT,1,507,606.372,202.8,242.5488,19.6,2013-12-06
130,HT,1,882,1054.872,352.8,421.9488,19.6,2013-12-06
131,HT,1,882,1054.872,352.8,421.9488,19.6,2013-12-06
132,HT,1,47,56.212,18.8,22.4848,19.6,2013-12-06
133,HT,1,42.3,50.5908,16.92,20.23632,19.6,2013-12-06
134,HT,1,34.2,40.9032,13.68,16.36128,19.6,2013-12-06
135,HT,1,71.4,85.3944,28.56,34.15776,19.6,2013-12-06
136,HT,1,71.4,85.3944,28.56,34.15776,19.6,2013-12-06
137,HT,1,115.1,137.6596,46.04,55.06384,19.6,2013-12-06
138,HT,1,115.1,137.6596,46.04,55.06384,19.6,2013-12-06
139,HT,1,115,137.54,46,55.016,19.6,2013-12-06
140,HT,1,71.4,85.3944,28.56,34.15776,19.6,2013-12-06
141,HT,1,41,49.036,16.4,19.6144,19.6,2013-12-06
142,HT,1,34,40.664,13.6,16.2656,19.6,2013-12-06
143,HT,1,36,43.056,14.4,17.2224,19.6,2013-12-06
144,HT,1,19,22.724,7.6,9.0896,19.6,2013-12-06
145,HT,1,19,22.724,7.6,9.0896,19.6,2013-12-06
146,HT,1,23,27.508,9.2,11.0032,19.6,2013-12-06
147,HT,1,23,27.508,9.2,11.0032,19.6,2013-12-06
148,HT,1,30,35.88,12,14.352,19.6,2013-12-06
149,HT,1,30,35.88,12,14.352,19.6,2013-12-06
150,HT,1,34,40.664,13.6,16.2656,19.6,2013-12-06
151,HT,1,34,40.664,13.6,16.2656,19.6,2013-12-06
152,HT,1,38,45.448,15.2,18.1792,19.6,2013-12-06
153,HT,1,38,45.448,15.2,18.1792,19.6,2013-12-06
154,HT,1,5,5.98,2,2.392,19.6,2013-12-06
155,HT,1,5,5.98,2,2.392,19.6,2013-12-06
156,HT,1,1,1.196,0.4,0.4784,19.6,2013-12-06
157,HT,1,113,135.148,45.2,54.0592,19.6,2013-12-06
158,HT,1,0,0,0,0,19.6,2013-12-06
159,HT,1,74,88.504,29.6,35.4016,19.6,2013-12-06
160,HT,1,74,88.504,29.6,35.4016,19.6,2013-12-06
161,HT,1,67.3,80.4908,26.92,32.19632,19.6,2013-12-06
162,HT,1,40,47.84,16,19.136,19.6,2013-12-06
163,HT,1,40,47.84,16,19.136,19.6,2013-12-06
164,HT,1,500,598,200,239.2,19.6,2013-12-06
165,HT,1,103.4,123.6664,41.36,49.46656,19.6,2013-12-06
166,HT,1,57.5,68.77,23,27.508,19.6,2013-12-06
167,HT,1,4.3,5.1428,1.72,2.05712,19.6,2013-12-06
168,HT,1,0,0,0,0,19.6,2013-12-06
169,HT,1,0,0,0,0,19.6,2013-12-06
170,HT,1,75,89.7,30,35.88,19.6,2013-12-06
171,HT,1,125,149.5,50,59.8,19.6,2013-12-06
172,HT,1,175,209.3,70,83.72,19.6,2013-12-06
173,HT,1,265,316.94,106,126.776,19.6,2013-12-06
174,HT,1,325,388.7,130,155.48,19.6,2013-12-06
175,HT,1,75,89.7,30,35.88,19.6,2013-12-06
176,HT,1,59,70.564,23.6,28.2256,19.6,2013-12-06
177,HT,1,108,129.168,43.2,51.6672,19.6,2013-12-06
178,HT,1,165,197.34,66,78.936,19.6,2013-12-06
