Référence;Label;En Vente;Description;Prix vente HT;taux TVA;poids;volume;Image;Code douanier;code_barre
ZC228/REFLEKTOR-NARROW+DimDSI;T5;1;T5 - 290 x 1195 x 107; 90.60 ; 20.00 ;;;;;
ZC228/REFLEKTOR-NARROW+NZ;T5;1;T5 - 290 x 1195 x 107; 100.48 ; 20.00 ;;;;;
ZC254/REFLEKTOR-NARROW;T5;1;T5 - 290 x 1195 x 107; 62.48 ; 20.00 ;;;;;
ZC254/REFLEKTOR-NARROW+Dim1-10V;T5;1;T5 - 290 x 1195 x 107; 81.32 ; 20.00 ;;;;;
ZC254/REFLEKTOR-NARROW+DimDALI;T5;1;T5 - 290 x 1195 x 107; 86.12 ; 20.00 ;;;;;
ZC254/REFLEKTOR-NARROW+DimDSI;T5;1;T5 - 290 x 1195 x 107; 90.60 ; 20.00 ;;;;;
ZC254/REFLEKTOR-NARROW+NZ;T5;1;T5 - 290 x 1195 x 107; 100.48 ; 20.00 ;;;;;
ZC235/REFLEKTOR-NARROW;T5;1;T5 - 290 x 1495 x 107; 72.96 ; 20.00 ;;;;;
ZC235/REFLEKTOR-NARROW+Dim1-10V;T5;1;T5 - 290 x 1495 x 107; 91.80 ; 20.00 ;;;;;
ZC235/REFLEKTOR-NARROW+DimDALI;T5;1;T5 - 290 x 1495 x 107; 96.60 ; 20.00 ;;;;;
ZC235/REFLEKTOR-NARROW+DimDSI;T5;1;T5 - 290 x 1495 x 107; 101.08 ; 20.00 ;;;;;
ZC235/REFLEKTOR-NARROW+NZ;T5;1;T5 - 290 x 1495 x 107; 110.96 ; 20.00 ;;;;;
ZC249/REFLEKTOR-NARROW;T5;1;T5 - 290 x 1495 x 107; 72.96 ; 20.00 ;;;;;
ZC249/REFLEKTOR-NARROW+Dim1-10V;T5;1;T5 - 290 x 1495 x 107; 91.80 ; 20.00 ;;;;;
ZC249/REFLEKTOR-NARROW+DimDALI;T5;1;T5 - 290 x 1495 x 107; 96.60 ; 20.00 ;;;;;
ZC249/REFLEKTOR-NARROW+DimDSI;T5;1;T5 - 290 x 1495 x 107; 101.08 ; 20.00 ;;;;;
ZC249/REFLEKTOR-NARROW+NZ;T5;1;T5 - 290 x 1495 x 107; 110.96 ; 20.00 ;;;;;
ZC280/REFLEKTOR-NARROW;T5;1;T5 - 290 x 1495 x 107; 79.68 ; 20.00 ;;;;;
ZC280/REFLEKTOR-NARROW+Dim1-10V;T5;1;T5 - 290 x 1495 x 107; 106.76 ; 20.00 ;;;;;
ZC280/REFLEKTOR-NARROW+DimDALI;T5;1;T5 - 290 x 1495 x 107; 108.48 ; 20.00 ;;;;;
ZC280/REFLEKTOR-NARROW+DimDSI;T5;1;T5 - 290 x 1495 x 107; 108.84 ; 20.00 ;;;;;
ZC280/REFLEKTOR-NARROW+NZ;T5;1;T5 - 290 x 1495 x 107; 117.68 ; 20.00 ;;;;;
ZC428/REFLEKTOR-NARROW;T5;1;T5 - 565 x 1195 x 107; 96.08 ; 20.00 ;;;;;
ZC428/REFLEKTOR-NARROW+Dim1-10V;T5;1;T5 - 565 x 1195 x 107; 133.80 ; 20.00 ;;;;;
ZC428/REFLEKTOR-NARROW+DimDALI;T5;1;T5 - 565 x 1195 x 107; 143.40 ; 20.00 ;;;;;
ZC428/REFLEKTOR-NARROW+DimDSI;T5;1;T5 - 565 x 1195 x 107; 152.28 ; 20.00 ;;;;;
ZC428/REFLEKTOR-NARROW+NZ;T5;1;T5 - 565 x 1195 x 107; 134.08 ; 20.00 ;;;;;
ZC454/REFLEKTOR-NARROW;T5;1;T5 - 565 x 1195 x 107; 96.08 ; 20.00 ;;;;;
ZC454/REFLEKTOR-NARROW+Dim1-10V;T5;1;T5 - 565 x 1195 x 107; 133.80 ; 20.00 ;;;;;
ZC454/REFLEKTOR-NARROW+DimDALI;T5;1;T5 - 565 x 1195 x 107; 143.40 ; 20.00 ;;;;;
ZC454/REFLEKTOR-NARROW+DimDSI;T5;1;T5 - 565 x 1195 x 107; 152.28 ; 20.00 ;;;;;
ZC454/REFLEKTOR-NARROW+NZ;T5;1;T5 - 565 x 1195 x 107; 134.08 ; 20.00 ;;;;;
ZC435/REFLEKTOR-NARROW;T5;1;T5 - 565 x 1495 x 107; 114.24 ; 20.00 ;;;;;
ZC435/REFLEKTOR-NARROW+Dim1-10V;T5;1;T5 - 565 x 1495 x 107; 151.96 ; 20.00 ;;;;;
ZC435/REFLEKTOR-NARROW+DimDALI;T5;1;T5 - 565 x 1495 x 107; 161.56 ; 20.00 ;;;;;
ZC435/REFLEKTOR-NARROW+DimDSI;T5;1;T5 - 565 x 1495 x 107; 170.48 ; 20.00 ;;;;;
