Référence;Label;En Vente;Description;Prix vente HT;taux TVA;poids;volume;Image;Code douanier;code_barre
15603;G45 42W E14 ECO HALOGEN 630 LM;1;;2,50;20;;;;;8421776009769
15604;G45 42W E27 ECO HALOGEN 630 LM;1;;2,60;20;;;;;8421776009776
15605;A55 42W E27 ECO HALOGEN 630 LM;1;;2,32;20;;;;;8421776009752
15606;A55 70W E27 ECO HALOGEN 1200 LM;1;;2,32;20;;;;;8421776009707
15607;B35 VELA 28W E14 HALO ECO 350LM 3000K;1;;2,22;20;;;;;8421776009783
15608;B35 VELA 42W E14 HALO ECO 630 Cd 2700K;1;;2,22;20;;;;;8421776009790
15609;B35 VELA 42W E27 ECO HALOGEN 630 LM;1;;2,22;20;;;;;8421776009806
15610;BT35 VELA PUNTA 28W E14 HALO ECO 350 LM;1;;2,74;20;;;;;8421776009714
15611;BT46 E27 80W ECO HALOGENA 1400Lu;1;;3,82;20;;;;;8421776024236
15612;BT46 E27 120W ECO HALOGENA 2250Lm;1;;3,82;20;;;;;8421776024243
15615;G9 28W ECO HALOGENA 350Lm;1;;2,21;20;;;;;8421776014909
15616;G9 42W ECOHALOGENA;1;;2,20;20;;;;;8421776022362
15617;G9 52W ECO HALOGENA 840Lm;1;;1,75;20;;;;;8421776024250
15620;G80 E27 48W ECO HALOGENA 750Lu;1;;3,94;20;;;;;8421776024199
15621;G80 E27 52W ECO HALOGENA 840Lu;1;;3,94;20;;;;;8421776024205
15630;T32 JDD ECOHALOGENA E27 70W;1;;4,54;20;;;;;8421776039285
15631;T32 JDD ECOHALOGENA E27 100W;1;;4,54;20;;;;;8421776039308
15632;T 32 JDD ECOHALOGENA E27 130W;1;;4,54;20;;;;;8421776039315
15801;T4 12W 5000K.REC. FLUO 62061;1;;3,62;20;;;;;8421776158016
15802;T4 16W 5000K.REC. FLUO 62062;1;;5,58;20;;;;;8421776158023
15803;T4 20W 5000K.REC. FLUO 62063;1;;6,11;20;;;;;8421776158030
15830;T5 8W 5000K.;1;;2,58;20;;;;;8421776158306
15831;T5 13W 4100K.;1;;3,11;20;;;;;8421776158313
15832;T5 21W 4100K.;1;;6,42;20;;;;;8421776158320
15833;T5 28W 5000K.;1;;7,32;20;;;;;8421776158337
15840;T5 8W 3000K.;1;;2,58;20;;;;;8421776158405
15841;T5 13W 3000K;1;;3,11;20;;;;;8421776158412
15849;T5 CIRCULAR 22W 2700ºK;1;;6,40;20;;;;;8421776015395
15850;T5 CIRCULAR 22W 4200K 1450 lm;1;;7,10;20;;;;;8421776158504
15852;T5 CIRCULAR 32W 4200 K;1;;8,25;20;;;;;8421776158528
15853;T5 CIRCULAR 32W 2700K;1;;8,25;20;;;;;8421776021518
15854;T5 CIRCULAR 55W 4200K;1;;12,89;20;;;;;8421776158542
15855;T5 CIRCULAR 55W 2700K;1;;12,89;20;;;;;8421776021525
15901;PL G23 Q 9W 5000K;1;;2,29;20;;;;;8421776159013
15902;PL G23 Q 11W 3000K (MOD. METIS);1;;2,50;20;;;;;8421776159020
15903;PL G24 D1 13W 4000K.;1;;3,08;20;;;;;8421776159037
15904;PL G24d-2 18W 4000K.;1;;3,46;20;;;;;8421776159044
15905;PL G24 D3 26W 4000K. (PARA MAGNETICO);1;;4,60;20;;;;;8421776159051
15906;PL G24Q-3 26W 5000K (PARA ELECTRONICO);1;;4,60;20;;;;;8421776159068
15907;PL G24-Q2 18W 4000K;1;;3,53;20;;;;;8421776159075
15909;PL G24q 42W 6400K (REC. MOD EROS);1;;3,53;20;;;;;8421776159099
15923;PL 2G11 36W 4000K.;1;;6,80;20;;;;;8421776159235
15925;PL 55W 2G11 5000K;1;;6,80;20;;;;;8421776159259
15926;PL 55W 2G11 2700k;1;;6,80;20;;;;;8421776012073
