Identifiant société,Raison sociale,Adresse,Code postal,Ville,Code pays,Téléphone,Identifiant professionnel 1,Identifiant professionnel 2,Identifiant professionnel 3,Identifiant professionnel 4,Compte comptable client,Compte comptable fournisseur,Numéro de TVA,Id facture,Réf. facture,Date création facture,Date facturation,Date échéance,Total HT,Total TTC,Total TVA,Facture payée,Statut facture,Note (privée),Note (publique),Id paiement,Montant paiement,Date paiement,Numéro paiement,New line,
11,ASLI SARL,38 rue du Général Foy,75008,PARIS,FR,,,,,,90ASLI,,,241,FA1401-0223,2014-01-15 16:38:17,2014-01-15,2014-01-30,1517.00000000,1820.40000000,303.40000000,0,2,,,126,1814.33000000,2014-01-10 12:00:00,,,
11,ASLI SARL,38 rue du Général Foy,75008,PARIS,FR,,,,,,90ASLI,,,259,FA1402-0242,2014-02-03 10:27:26,2014-02-03,2014-02-18,1517.00000000,1820.40000000,303.40000000,1,2,,,139,1820.40000000,2014-02-10 12:00:00,,,
11,ASLI SARL,38 rue du Général Foy,75008,PARIS,FR,,,,,,90ASLI,,,278,FA1403-0258,2014-03-07 11:22:36,2014-03-07,2014-03-22,1517.00000000,1820.40000000,303.40000000,1,2,,,148,1820.40000000,2014-03-10 12:00:00,,,
11,ASLI SARL,38 rue du Général Foy,75008,PARIS,FR,,,,,,90ASLI,,,300,FA1404-0280,2014-04-09 11:36:15,2014-04-09,2014-04-24,1517.00000000,1820.40000000,303.40000000,1,2,,,160,1820.40000000,2014-04-10 12:00:00,,,
11,ASLI SARL,38 rue du Général Foy,75008,PARIS,FR,,,,,,90ASLI,,,324,FA1405-0302,2014-05-19 09:53:12,2014-05-09,2014-05-24,1517.00000000,1820.40000000,303.40000000,1,2,,,156,1820.40000000,2014-05-13 12:00:00,,,
11,ASLI SARL,38 rue du Général Foy,75008,PARIS,FR,,,,,,90ASLI,,,347,FA1406-0314,2014-06-13 09:33:31,2014-06-13,2014-06-28,1517.00000000,1820.40000000,303.40000000,1,2,,,179,1820.40000000,2014-06-10 12:00:00,,0,
11,ASLI SARL,38 rue du Général Foy,75008,PARIS,FR,,,,,,90ASLI,,,391,FA1407-0353,2014-07-09 16:50:23,2014-07-09,2014-07-24,1517.00000000,1820.40000000,303.40000000,1,2,,,183,1820.40000000,2014-07-11 12:00:00,,0,
11,ASLI SARL,38 rue du Général Foy,75008,PARIS,FR,,,,,,90ASLI,,,415,FA1408-0371,2014-08-08 11:05:18,2014-08-08,2014-08-23,1517.00000000,1820.40000000,303.40000000,1,2,,,196,1820.40000000,2014-09-16 12:00:00,,0,
11,ASLI SARL,38 rue du Général Foy,75008,PARIS,FR,,,,,,90ASLI,,,447,FA1409-0392,2014-09-09 17:40:01,2014-09-09,2014-09-24,1517.00000000,1820.40000000,303.40000000,1,2,,,196,1820.40000000,2014-09-16 12:00:00,,0,
11,ASLI SARL,38 rue du Général Foy,75008,PARIS,FR,,,,,,90ASLI,,,529,FA1410-0420,2014-10-10 16:13:00,2014-10-10,2014-10-25,1517.00000000,1820.40000000,303.40000000,1,2,,,228,1820.40000000,2014-10-30 12:00:00,,0,
11,ASLI SARL,38 rue du Général Foy,75008,PARIS,FR,,,,,,90ASLI,,,539,FA1410-0430,2014-10-10 17:09:35,2014-10-10,2014-11-30,250.00000000,300.00000000,50.00000000,1,2,,,228,300.00000000,2014-10-30 12:00:00,,0,
11,ASLI SARL,38 rue du Général Foy,75008,PARIS,FR,,,,,,90ASLI,,,563,AV1410-0012,2014-10-30 09:50:44,2014-10-30,2014-10-30,-250.00000000,-300.00000000,-50.00000000,1,2,,,227,-300.00000000,2014-10-30 12:00:00,,0,
